#Velocity(km/s)	Temperature(K)
-224.573	-0.027
-225.526	0.078
-226.478	-0.123
-227.431	0.133
-228.383	-0.010
-229.336	0.082
-230.288	0.066
-231.241	-0.010
-232.193	-0.035
-233.146	-0.046
-234.098	-0.090
-235.051	-0.136
-236.004	-0.001
-236.956	-0.070
-237.909	-0.107
-238.861	-0.036
-239.814	-0.014
-240.766	0.009
-241.719	0.074
-242.671	0.128
-243.624	-0.121
-244.576	0.045
-245.529	-0.002
-246.481	0.046
-247.434	0.025
-248.386	-0.023
-249.339	-0.042
-250.291	-0.128
-251.244	0.049
-252.196	0.206
-253.149	-0.006
-254.101	-0.187
-255.054	-0.040
-256.006	-0.065
-256.959	-0.022
-257.911	-0.028
-258.864	0.028
-259.816	0.078
-260.769	-0.051
-261.722	-0.000
-262.674	-0.057
-263.627	-0.044
-264.579	-0.127
-265.532	-0.052
-266.484	-0.142
-267.437	-0.065
-268.389	-0.104
-269.342	-0.078
-270.294	-0.027
-271.247	-0.065
-272.199	-0.048
-273.152	-0.002
-274.104	-0.049
-275.057	-0.023
-276.009	-0.016
-276.962	0.062
-277.914	-0.065
-278.867	0.059
-279.819	-0.035
-280.772	-0.036
-281.724	-0.028
-282.677	0.030
-283.629	-0.071
-284.582	0.038
-285.534	0.046
-286.487	-0.076
-287.440	-0.195
-288.392	0.010
-289.345	0.088
-290.297	0.023
-291.250	0.031
-292.202	-0.013
-293.155	0.179
-294.107	-0.165
-295.060	0.018
-296.012	0.025
-296.965	0.088
-297.917	0.020
-298.870	0.062
-299.822	0.073
-300.775	-0.006
-301.727	-0.078
-302.680	0.029
-303.632	0.024
-304.585	0.010
-305.537	0.105
-306.490	0.150
-307.442	0.044
-308.395	-0.058
-309.347	-0.091
-310.300	0.090
-311.252	-0.004
-312.205	-0.050
-313.158	-0.043
-314.110	0.069
-315.063	0.019
-316.015	-0.078
