Wavelength [nm]    Cross section [cm^2]
      2013.61  9.78087e-27
      2013.71  1.09890e-26
      2013.81  4.22519e-25
      2013.91  1.65398e-25
      2014.01  6.70270e-23
      2014.11  9.34812e-26
      2014.21  7.47196e-27
      2014.31  2.54402e-25
      2014.41  1.14998e-25
      2014.51  6.30034e-25
      2014.61  6.56901e-23
      2014.71  3.48837e-27
      2014.81  2.37204e-24
      2014.91  2.71772e-26
      2015.02  2.51002e-22
      2015.12  1.28606e-24
      2015.22  8.52661e-27
      2015.32  3.56019e-24
      2015.42  3.76900e-23
      2015.52  1.81207e-24
      2015.62  2.15588e-24
      2015.72  9.67991e-26
      2015.82  1.97348e-23
      2015.92  8.28781e-25
      2016.02  1.69101e-23
      2016.12  4.32656e-25
      2016.22  5.38403e-23
      2016.33  1.07174e-24
      2016.43  1.14345e-24
      2016.53  1.22033e-25
      2016.63  9.85290e-23
      2016.73  4.42103e-23
      2016.83  2.44452e-24
      2016.93  2.79878e-23
      2017.03  2.44168e-23
      2017.13  4.82080e-24
      2017.23  1.81184e-24
      2017.33  4.61174e-24
      2017.43  4.17148e-24
      2017.54  2.90886e-25
      2017.64  2.74403e-24
      2017.74  1.89534e-28
      2017.84  4.14446e-25
      2017.94  4.96949e-23
      2018.04  2.04392e-25
      2018.14  3.77046e-23
      2018.24  4.98796e-26
      2018.34  5.69987e-27
      2018.44  2.21154e-26
      2018.54  9.95238e-25
      2018.65  1.33235e-25
